R U2 R' U' R U R' U' R' D' R U' R' D R2 U' R' U R U' R',no,yes
r' F' r U r U2 r' F2 U' R U R' U' R U' R',no,yes
R U R' U R U2 R' U' R U' L' U R' U' L,no,yes
y' R' U2 R U R' U R2 U' r' F R' F' r,no,yes
y R U R' U R U' R' U R U' R D R' U' R D' R2,no,yes
y' R U R' U F2 R U2 R' U2 R' F2 R,no,yes
y R U2 R' U2 R' U' F U R2 U' R' U R U' R' F',no,yes
y' R U R' F' R U R' U R U2 R' F U R U2 R',no,yes
y2 R F U' R2 U2 R U R' U R2 U F' R',no,yes
y R U R' U' R U R2 D' R U' R' D R U' R U2 R',no,yes
F U R' U' R2 U' R2 U2 R U2 R U R' F',no,yes
R U2 R2 F R F' R' F R F' R' F R F' R U2 R',no,yes
R2 D R' U' R D' R' U' R' U R U' R' U' R U' R',no,yes
R2 D' R U R' D R U R U' R' U R U R' U R,no,yes
y2 R U2 R' U R' D' R U R' D R2 U' R' U R U' R',no,yes
R2 D R' U2 R D' R2 U' R U R D R' U2 R D' R2,no,yes
y' r U R' U R' F R F' R U' R' U R U2 r',no,yes
y R U2 R' U' F' R U2 R' U' R U' R' F R U' R',no,yes
R U2 R2 U' R2 U' R2 U2 R,no,yes
y' R' U2 R U R' U R2 U R' U R U2 R',no,yes
y' R U2 R' U2 R U' R' U2 R U' R' U2 R U R',no,yes
y R' U2 R U2 R' U R U2 R' U R U2 R' U' R,no,yes
y2 R' U R U' R2 U2 R U R' U R2 U' R' U R,no,yes
y2 R U' R' U R2 U2 R' U' R U' R2 U R U' R',no,yes
y R U2 R' U' R U' R2 U' R U' R' U2 R,no,yes
R' U2 R2 U R2 U R2 U2 R',no,yes
R U R' U R U2 R' U' R U R' U R U2 R',no,yes
R' U' R U' R' U2 R U R' U' R U' R' U2 R,no,yes
y R U R' U R U2 R' U R U R' U R U2 R',no,yes
R U R2 U' R2 U' R2 U2 R2 U' R' U R U2 R',no,yes
L' U2 L U2 R U' L' U R' L,no,yes
y R U2 R D R' U' R D' R2 U R,no,yes
R' U R U2 R' U R2 D R' U R D' R',no,yes
y2 S' U2 L' U2 L U2 L F' L' f,no,yes
y R' F R U R' U' R' F' D' R U R' D R2,no,yes
F' R U R' U R U2 R' F U R U' R' U2 R U' R',no,yes
y' R' U' R U R2 U' R' U' R U D' R U R' D R',no,yes
y2 R U R' U R2 D r' U2 r D' R2,no,yes
y R U R' U' R U R2 D' R U R' D R U R U2 R',no,yes
y2 R U R' U R2 D R' U2 R D' R2,no,yes
y' R' D' R U2 R' D R U' R U R' U2 R U R',no,yes
